,size,isdir,mode,mtime,ctime,atime,exe,file_full,filename,method
line76,78388559,FALSE,666,2/20/2019 16:27,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_076.raw,20190219_076,20190204_PAL_filtrate_DIA.meth
line77,59015102,FALSE,666,2/20/2019 16:47,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_077.raw,20190219_077,20190204_PAL_filtrate_DDA.meth
line78,78745160,FALSE,666,2/20/2019 17:07,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_078.raw,20190219_078,20190204_PAL_filtrate_DIA.meth
line79,59438852,FALSE,666,2/20/2019 17:27,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_079.raw,20190219_079,20190204_PAL_filtrate_DDA.meth
line80,78301522,FALSE,666,2/20/2019 17:47,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_080.raw,20190219_080,20190204_PAL_filtrate_DIA.meth
line81,58890572,FALSE,666,2/20/2019 18:08,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_081.raw,20190219_081,20190204_PAL_filtrate_DDA.meth
line82,78489465,FALSE,666,2/20/2019 18:28,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_082.raw,20190219_082,20190204_PAL_filtrate_DIA.meth
line83,58840569,FALSE,666,2/20/2019 18:48,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_083.raw,20190219_083,20190204_PAL_filtrate_DDA.meth
line84,77820687,FALSE,666,2/20/2019 19:08,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_084.raw,20190219_084,20190204_PAL_filtrate_DIA.meth
line85,58487845,FALSE,666,2/20/2019 19:28,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_085.raw,20190219_085,20190204_PAL_filtrate_DDA.meth
line86,77615822,FALSE,666,2/20/2019 19:48,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_086.raw,20190219_086,20190204_PAL_filtrate_DIA.meth
line87,58504253,FALSE,666,2/20/2019 20:08,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_087.raw,20190219_087,20190204_PAL_filtrate_DDA.meth
line88,77870566,FALSE,666,2/20/2019 20:28,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_088.raw,20190219_088,20190204_PAL_filtrate_DIA.meth
line89,58474403,FALSE,666,2/20/2019 20:49,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_089.raw,20190219_089,20190204_PAL_filtrate_DDA.meth
line90,78525951,FALSE,666,2/20/2019 21:09,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_090.raw,20190219_090,20190204_PAL_filtrate_DIA.meth
